CustomerID,Name,AccountType,KYCRiskRating
C500001,Olivia Dubois,Personal,Low
C500002,Wei Nguyen,Business,Low
C500003,Andrew Miller,Personal,Medium
C500004,Joshua Scott,Personal,Medium
C500005,Amrit Allen,Personal,High
C500006,John Williams,Personal,Low
C500007,Joshua Clark,Joint,Medium
C500008,Jennifer White,Personal,Low
C500009,Sarah Williams,Personal,Medium
C500010,Priya Williams,Business,Low
C500011,Ashley Jones,Business,High
C500012,Michael Young,Personal,Low
C500013,Paul Miller,Personal,Low
C500014,Barbara Kim,Personal,Low
C500015,Elizabeth Gagnon,Business,Medium
C500016,Lisa Tremblay,Business,Medium
C500017,Kevin King,Personal,Low
C500018,Joshua Johnson,Personal,Medium
C500019,Chen Wilson,Personal,Low
C500020,Kevin Wright,Personal,Low
C500021,David Scott,Personal,Low
C500022,Daniel Martinez,Personal,Medium
C500023,Matthew Tremblay,Personal,High
C500024,Priya Patel,Personal,Low
C500025,Mark Wilson,Personal,Low
C500026,Priya Lee,Personal,Medium
C500027,Barbara Chan,Personal,High
C500028,Daniel Roy,Joint,High
C500029,Noah Miller,Joint,Low
C500030,David Kim,Personal,High
C500031,Mary Patel,Business,High
C500032,Steven King,Personal,Medium
C500033,David Chan,Personal,Medium
C500034,Anthony Green,Personal,Low
C500035,Jessica Williams,Personal,Low
C500036,Noah Scott,Personal,Low
C500037,Barbara Anderson,Business,Low
C500038,Joshua Kim,Business,Low
C500039,Michael Williams,Personal,Low
C500040,Fatima Gagnon,Business,High
C500041,Priya Smith,Personal,Low
C500042,Fatima Nguyen,Personal,Low
C500043,Barbara Williams,Business,High
C500044,Linda Johnson,Joint,Low
C500045,Jennifer Kim,Personal,Low
C500046,Sofia Roy,Personal,Medium
C500047,Noah Rodriguez,Personal,Low
C500048,Fatima Lewis,Business,High
C500049,Brian Lewis,Personal,Low
C500050,James Roy,Personal,Low
C500051,John Roy,Personal,Medium
C500052,Olivia Walker,Business,Medium
C500053,Joshua Moore,Personal,High
C500054,Robert Gagnon,Personal,Medium
C500055,Joshua Brown,Personal,Low
C500056,Sandra Allen,Personal,Low
C500057,Sofia Smith,Business,Low
C500058,Robert Young,Business,Low
C500059,Ashley Davis,Personal,Low
C500060,Daniel Anderson,Business,Low
C500061,Amrit Thompson,Personal,Low
C500062,Mary Thomas,Business,Medium
C500063,James Singh,Personal,Medium
C500064,Lisa Smith,Business,Low
C500065,Ashley Miller,Joint,Low
C500066,Barbara Harris,Joint,Low
C500067,Jennifer Roy,Personal,Low
C500068,Daniel Brown,Business,Low
C500069,Susan Wilson,Personal,Low
C500070,Brian Dubois,Business,Medium
C500071,Ashley Lee,Personal,Low
C500072,Noah Green,Personal,Low
C500073,Lisa Smith,Business,Low
C500074,Priya Brown,Personal,Medium
C500075,Mark Harris,Business,Low
C500076,Barbara Smith,Personal,Low
C500077,Chen Clark,Personal,Medium
C500078,Jessica Levesque,Personal,Low
C500079,Robert Moore,Business,Low
C500080,Betty Walker,Personal,High
C500081,Michael Patel,Personal,Medium
C500082,Sandra Lewis,Business,Low
C500083,Wei Thomas,Personal,Medium
C500084,Lisa Jones,Personal,Low
C500085,Matthew Rodriguez,Personal,Low
C500086,Amrit Harris,Business,Low
C500087,Sofia Nguyen,Business,Low
C500088,Robert Harris,Business,Low
C500089,Robert Patel,Personal,Medium
C500090,Susan Moore,Business,Low
C500091,Lisa Allen,Business,Medium
C500092,Jennifer Allen,Business,High
C500093,Robert Harris,Personal,Medium
C500094,John Patel,Personal,High
C500095,Patricia Wilson,Joint,Low
C500096,Olivia Dubois,Business,Low
C500097,Mary Anderson,Business,Medium
C500098,Sandra Patel,Business,Low
C500099,Liam Kim,Personal,Low
C500100,Olivia Martin,Business,Medium
C500101,James Martinez,Personal,Low
C500102,Noah Lewis,Personal,Low
C500103,James Garcia,Joint,High
C500104,Linda Levesque,Joint,Low
C500105,Susan Lewis,Personal,Low
C500106,Sandra Brown,Joint,Low
C500107,Mary Johnson,Personal,Low
C500108,Robert Young,Business,Medium
C500109,Elizabeth Jones,Personal,Low
C500110,Anthony Rodriguez,Personal,Medium
C500111,Emma Tremblay,Personal,Low
C500112,Paul Brown,Personal,Medium
